no,?⑥뼱,???깃툒,蹂??,蹂??,,,,,
1,a,?섎굹??珥덈벑,,,,,,,
2,abandon,踰꾨━??以묎퀬,,,,,,,
3,able,?????덈뒗,以묎퀬,,,,,,
4,aboard,諛곕줈,以묎퀬,,,,,,
5,abort,?좎궛?섎떎,?꾨Ц,,,,,,
6,about,-????섏뿬,珥덈벑,,,,,,
7,above,-蹂대떎 ?꾩뿉,珥덈벑,,,,,,
8,abroad,?멸뎅?쇰줈,以묎퀬,,,,,,
9,absent,遺?ъ쓽,以묎퀬,,,,,,
10,absolute,?덈???以묎퀬,,,,,,,
11,absorb,?≪닔?섎떎,以묎퀬,,,,,,
12,abstract,異붿긽?곸씤,以묎퀬,,,,,,
13,absurd,遺덊빀由ы븳,?꾨Ц,,,,,,
14,abundant,?띾???以묎퀬,,,,,,,
15,abuse,?⑥슜,以묎퀬,,,,,,
16,academy,?숈닠??珥덈벑,,,,,,,
17,accelerate,媛?랁븯???띾룄媛 媛?댁???以묎퀬,,,,,,,
18,accent,?≪꽱??珥덈벑,,,,,,,
19,accept,諛쏆븘?ㅼ씠??以묎퀬,,,,,,,
20,access,?묎렐,以묎퀬,,,,,,
21,accident,?삳컰???ш굔,珥덈벑,,,,,,
22,accommodate,?섏슜?섎떎,以묎퀬,,,,,,
23,accompany,?숇컲?섎떎,以묎퀬,,,,,,
24,accomplish,?대（??以묎퀬,,,,,,,
25,accord,?쇱튂?섎떎,?꾨Ц,,,,,,
26,account,?ㅻ챸?섎떎 怨꾩궛,以묎퀬,,,,,,
27,accumulate,異뺤쟻?섎떎,?꾨Ц,,,,,,
28,accurate,?뺥솗??以묎퀬,,,,,,,
29,accuse,怨좊컻?섎떎,以묎퀬,,,,,,
30,achieve,?깆랬?섎떎,以묎퀬,,,,,,
31,acid,????以묎퀬,,,,,,,
32,acknowledge,?몄젙?섎떎,以묎퀬,,,,,,
33,acquaint,?뚮━???꾨Ц,,,,,,,
34,acquire,?삳떎,以묎퀬,,,,,,
35,acquisition,?띾뱷,?꾨Ц,,,,,,
36,across,媛濡쒖쭏??珥덈벑,,,,,,,
37,act,vi?됰룞?섎떎,珥덈벑,,,,,,
38,activate,?쒕룞?곸쑝濡??섎떎,以묎퀬,,,,,,
39,actual,?꾩떎??以묎퀬,,,,,,,
40,acute,?좎뭅濡쒖슫,以묎퀬,,,,,,
41,adapt,?곸슜?쒗궎??以묎퀬,,,,,,,
42,add,異붽??섎떎,珥덈벑,,,,,,
43,addict,?댁쨷?섍쾶 ?섎떎,以묎퀬,,,,,,
44,address,留먯쓣 嫄몃떎,珥덈벑,,,,,,
45,adequate,異⑸텇??以묎퀬,,,,,,,
46,adjust,留욎텛??以묎퀬,,,,,,,
47,administer,愿由ы븯??以묎퀬,,,,,,,
48,admire,媛먮났?섎떎,以묎퀬,,,,,,
49,admission,?낆옣,以묎퀬,,,,,,
50,admit,諛쏆븘?ㅼ씠??以묎퀬,,,,,,,
51,adolescent,泥?뀈湲곗쓽,以묎퀬,,,,,,
52,adopt,梨꾩슜?섎떎,以묎퀬,,,,,,
53,adult,?깆씤,珥덈벑,,,,,,
54,advance,?섏븘媛??以묎퀬,,,,,,,
55,advantage,?좊━???낆옣,以묎퀬,,,,,,
56,adventure,紐⑦뿕 紐⑦뿕?섎떎,珥덈벑,,,,,,
57,adverse,嫄곌씀濡쒖쓽,?꾨Ц,,,,,,
58,advertize,愿묎퀬?섎떎,以묎퀬,advertise,,,,,
59,advise,異⑷퀬?섎떎,珥덈벑,,,,,,
60,advocate,蹂?몄궗,以묎퀬,,,,,,
61,aesthetic,誘몄쟻???꾨Ц,,,,,,,
62,affair,??以묎퀬,,,,,,,
63,affect,?곹뼢??二쇰떎,以묎퀬,,,,,,
64,affection,?좎젙,以묎퀬,,,,,,
65,affiliate,?뚯썝?쇰줈 媛?낆떆?ㅻ떎,?꾨Ц,,,,,,
66,afford,?ъ쑀媛 ?덈떎,以묎퀬,,,,,,
67,afraid,?먮젮?뚰븯??珥덈벑,,,,,,,
68,after,?꾩뿉,珥덈벑,,,,,,
69,afternoon,?ㅽ썑,珥덈벑,,,,,,
70,again,?ㅼ떆,珥덈벑,,,,,,
71,against,??뿉 諛섎??섏뿬,珥덈벑,,,,,,
72,age,?곕졊,珥덈벑,,,,,,
73,agency,湲곕뒫,以묎퀬,,,,,,
74,agenda,?덇굔,以묎퀬,,,,,,
75,agent,?由ъ씤,以묎퀬,,,,,,
76,aggressive,移⑤왂?곸씤,以묎퀬,,,,,,
77,ago,?댁쟾??珥덈벑,,,,,,,
78,agree,?숈쓽?섎떎,珥덈벑,,,,,,
79,agriculture,?띿뾽,以묎퀬,,,,,,
80,ahead,?꾨갑??珥덈벑,,,,,,,
81,aid,?꾩? 二쇰떎,以묎퀬,,,,,,
82,aim,寃⑤늻??以묎퀬,,,,,,,
83,air,怨듦린,珥덈벑,,,,,,
84,airplane,鍮꾪뻾湲?珥덈벑,plane,aeroplane,,,,,
85,aircraft,??났湲?以묎퀬,,,,,,,
86,airline,?뺢린??났,珥덈벑,,,,,,
87,airport,怨듯빆,珥덈벑,,,,,,
88,aisle,痢〓㈃蹂듬룄,以묎퀬,,,,,,
89,alert,鍮덊땲?녿뒗,以묎퀬,,,,,,
90,alien,?멸뎅??以묎퀬,,,,,,,
91,alike,鍮꾩듂??以묎퀬,,,,,,,
92,alive,?댁븘?덈뒗,以묎퀬,,,,,,
93,all,紐⑤뱺,珥덈벑,,,,,,
94,allocate,?좊떦?섎떎,?꾨Ц,,,,,,
95,allow,?덈씫?섎떎,以묎퀬,,,,,,
96,ally,?숇㏏?섎떎,以묎퀬,,,,,,
97,almost,嫄곗쓽,珥덈벑,,,,,,
98,alone,?ㅻ쭔 ?濡??쇱옄??,珥덈벑,,,,,,
99,along,-???곕씪,珥덈벑,,,,,,
100,alongside,-??怨곸뿉,以묎퀬,,,,,,
101,aloud,???뚮━濡?珥덈벑,,,,,,,
102,already,?대?,珥덈벑,,,,,,
103,alright,?뷀븷?섏쐞?놁씠,珥덈벑,,,,,,
104,also,-???먰븳,珥덈벑,,,,,,
105,alter,諛붽씀??以묎퀬,,,,,,,
106,alternative,?대뒓 ?쒖そ???묒옄?앹씪,以묎퀬,,,,,,
107,although,鍮꾨줉 -?쇱??쇰룄,以묎퀬,,,,,,
108,altogether,?꾪?,以묎퀬,,,,,,
109,always,??珥덈벑,,,,,,,
110,A.M.,?ㅼ쟾,珥덈벑,a.m.,,,,,
111,amaze,源쒖쭩 ??쇨쾶 ?섎떎,以묎퀬,,,,,,
112,ambassador,???以묎퀬,,,,,,,
113,ambition,?쇱떖,以묎퀬,,,,,,
114,among,#NAME?,以묎퀬,,,,,,
115,amount,(湲덉븸??-???섎떎,以묎퀬,,,,,,
116,amplify,?뺣??섎떎,?꾨Ц,,,,,,
117,amuse,?щ??섍쾶 ?섎떎,以묎퀬,,,,,,
118,analyze,遺꾪빐?섎떎,以묎퀬,analyse,,,,,
119,anchor,??以묎퀬,,,,,,,
120,ancient,?쏅궇??以묎퀬,,,,,,,
121,and,諛?珥덈벑,,,,,,,
122,angel,泥쒖궗,珥덈벑,,,,,,
123,anger,??珥덈벑,,,,,,,
124,angle,媛?以묎퀬,,,,,,,
125,animal,?숇Ъ,珥덈벑,,,,,,
126,anniversary,湲곕뀗???덈뀈??以묎퀬,,,,,,,
127,announce,?뚮━??以묎퀬,,,,,,,
128,annoy,洹李?쾶?섎떎,以묎퀬,,,,,,
129,annual,?쇰뀈??以묎퀬,,,,,,,
130,another,???섎굹,珥덈벑,,,,,,
131,answer,???珥덈벑,,,,,,,
132,ant,媛쒕?,珥덈벑,,,,,,
133,anticipate,?덇린?섎떎,以묎퀬,,,,,,
134,anxiety,洹쇱떖,以묎퀬,,,,,,
135,anxious,嫄깆젙?섎뒗,以묎퀬,,,,,,
136,any,?대뼡,珥덈벑,,,,,,
137,apart,?⑥뼱?몄꽌,以묎퀬,,,,,,
138,apology,?ш낵,以묎퀬,,,,,,
139,apparent,紐낅갚??以묎퀬,,,,,,,
140,appeal,媛꾩껌?섎떎,以묎퀬,,,,,,
141,appear,?섑??섎떎,以묎퀬,,,,,,
142,apple,?ш낵,珥덈벑,,,,,,
143,applicant,吏?먯옄,以묎퀬,,,,,,
144,apply,(臾쇨굔?????以묎퀬,,,,,,,
145,appoint,吏?뺥븯??以묎퀬,,,,,,,
146,appreciate,媛먯긽?섎떎,以묎퀬,,,,,,
147,approach,?ㅺ?媛??以묎퀬,,,,,,,
148,appropriate,?곷떦??以묎퀬,,,,,,,
149,approve,?쒖씤?섎떎,以묎퀬,,,,,,
150,approximate,?대┝?덉쓽,以묎퀬,,,,,,
151,architect,嫄댁텞媛,以묎퀬,,,,,,
152,architecture,嫄댁텞,以묎퀬,,,,,,
153,archive,湲곕줉蹂닿????꾨Ц,,,,,,,
154,area,硫댁쟻,珥덈벑,,,,,,
155,argue,?쇳븯??以묎퀬,,,,,,,
156,arise,?앷린??以묎퀬,,,,,,,
157,arm,??珥덈벑,,,,,,,
158,army,?↔뎔,以묎퀬,,,,,,
159,around,?щ갑??珥덈벑,,,,,,,
160,arrange,媛吏?고엳 ?섎떎,以묎퀬,,,,,,
161,arrest,泥댄룷?섎떎,以묎퀬,,,,,,
162,arrive,?꾩갑?섎떎,珥덈벑,,,,,,
163,arrow,?붿궡,以묎퀬,,,,,,
164,art,?덉닠,珥덈벑,,,,,,
165,article,臾쇳뭹,以묎퀬,,,,,,
166,artificial,?멸났??以묎퀬,,,,,,,
167,as,-? 媛숈? ?뺣룄濡?珥덈벑,,,,,,,
168,ash,??以묎퀬,,,,,,,
169,aside,怨곸뿉,以묎퀬,,,,,,
170,ask,臾삳떎,珥덈벑,,,,,,
171,asleep,?좊뱾?,以묎퀬,,,,,,
172,aspect,愿??以묎퀬,,,,,,,
173,aspire,?대쭩?섎떎,以묎퀬,,,,,,
174,assault,?듦꺽,?꾨Ц,,,,,,
175,assemble,紐⑥쑝??以묎퀬,,,,,,,
176,assert,?⑥뼵?섎떎,以묎퀬,,,,,,
177,assess,(?멸툑 ?깆쓣)?ъ젙?섎떎,以묎퀬,,,,,,
178,asset,?먯궛,以묎퀬,,,,,,
179,assign,?좊떦?섎떎,以묎퀬,,,,,,
180,assist,?뺣떎,以묎퀬,,,,,,
181,associate,?곗긽?섎떎,以묎퀬,,,,,,
182,assume,痍⑦븯??以묎퀬,,,,,,,
183,assure,蹂댁쬆?섎떎,以묎퀬,,,,,,
184,astonish,??쇨쾶 ?섎떎,以묎퀬,,,,,,
185,at,-?먯꽌,珥덈벑,,,,,,
186,athlete,?대룞媛,以묎퀬,,,,,,
187,atmosphere,?湲?以묎퀬,,,,,,,
188,atom,?먯옄,以묎퀬,,,,,,
189,attach,遺숈씠??以묎퀬,,,,,,,
190,attack,怨듦꺽?섎떎,以묎퀬,,,,,,
191,attain,?대Ⅴ??以묎퀬,,,,,,,
192,attempt,?쒕룄?섎떎,以묎퀬,,,,,,
193,attend,異쒖꽍?섎떎,以묎퀬,,,,,,
194,attention,二쇱쓽,以묎퀬,,,,,,
195,attitude,?쒕룄,以묎퀬,,,,,,
196,attorney,蹂?몄궗,?꾨Ц,,,,,,
197,attract,?뚯뼱 ?밴린??以묎퀬,,,,,,,
198,attribute,?띿꽦,以묎퀬,,,,,,
199,auction,寃쎈ℓ,以묎퀬,,,,,,
200,audience,泥?쨷,以묎퀬,,,,,,
201,aunt,?꾩＜癒몃땲,珥덈벑,,,,,,
202,authentic,吏꾩쭨???꾨Ц,,,,,,,
203,author,???以묎퀬,,,,,,,
204,autobiography,?먯꽌??以묎퀬,,,,,,,
205,automatic,?먮룞??以묎퀬,,,,,,,
206,automobile,?먮룞李??먮룞李⑥쓽,以묎퀬,,,,,,
207,available,?몃え?덈뒗,以묎퀬,,,,,,
208,avenue,媛濡쒖닔湲?以묎퀬,,,,,,,
209,average,?됯퇏,以묎퀬,,,,,,
210,avoid,?쇳븯??以묎퀬,,,,,,,
211,await,湲곕떎由щ떎,以묎퀬,,,,,,
212,awake,源⑥슦??以묎퀬,,,,,,,
213,award,??以묎퀬,,,,,,,
214,aware,?뚭퀬 ?덈뒗,以묎퀬,,,,,,
215,away,?⑥뼱?몄꽌,珥덈벑,,,,,,
216,awesome,臾댁꽌??以묎퀬,,,,,,,
217,awful,?먮젮??以묎퀬,,,,,,,
218,awkward,?댁깋??以묎퀬,,,,,,,
219,baby,"媛볥궃?꾩씠, 留됰궡   愿?ъ궗, 怨⑥튂?꾪뵂 ??",珥덈벑,,,,,,
220,back,??珥덈벑,,,,,,,
221,background,諛곌꼍,珥덈벑,,,,,,
222,bad,?섏걶,珥덈벑,,,,,,
223,bake,援쎈떎,珥덈벑,,,,,,
224,balance,洹좏삎,以묎퀬,,,,,,
225,ball,怨?珥덈벑,,,,,,,
226,balloon,湲곌뎄,珥덈벑,,,,,,
227,ban,湲덉?,以묎퀬,,,,,,
228,band,洹몃９,珥덈벑,,,,,,
229,bang,媛뺥?,以묎퀬,,,,,,
230,bank,??珥덈벑,,,,,,,
231,bankrupt,?뚯궛???꾨Ц,,,,,,,
232,bar,留됰?湲?以묎퀬,,,,,,,
233,bare,踰뚭굅踰쀬?,以묎퀬,,,,,,
234,bargain,留ㅻℓ,以묎퀬,,,,,,
235,bark,吏뽯떎,以묎퀬,,,,,,
236,barn,?쏄컙,以묎퀬,,,,,,
237,barrier,?λ꼍,以묎퀬,,,,,,
238,base,湲곗큹,珥덈벑,,,,,,
239,baseball,?쇨뎄,珥덈벑,,,,,,
240,basic,湲곕낯??珥덈벑,,,,,,,
241,basis,湲곗큹,以묎퀬,,,,,,
242,basket,諛붽뎄??珥덈벑,,,,,,,
243,basketball,?띻뎄,珥덈벑,,,,,,
244,bat,諛고듃,珥덈벑,,,,,,
245,bath,紐⑹슃,珥덈벑,,,,,,
246,bathroom,?뺤떎,珥덈벑,,,,,,
247,battery,?꾩?,珥덈벑,,,,,,
248,battle,?꾪닾,珥덈벑,,,,,,
249,bay,留?以묎퀬,,,,,,,
250,be,-?대떎,珥덈벑,,,,,,
251,beach,?댁븞,珥덈벑,,,,,,
252,beam,愿묒꽑,以묎퀬,,,,,,
253,bean,肄?珥덈벑,,,,,,,
254,bear,?섎Ⅴ??珥덈벑,,,,,,,
255,beard,?깆닔??以묎퀬,,,,,,,
256,beast,吏먯듅,以묎퀬,,,,,,
257,beat,移섎떎,以묎퀬,,,,,,
258,beauty,?꾨쫫?ㅼ?,珥덈벑,,,,,,
259,because,?쒕깘?섎㈃,珥덈벑,,,,,,
260,become,-???섎떎,珥덈벑,,,,,,
261,bed,移⑤?,珥덈벑,,,,,,
262,bedroom,移⑥떎 ?깆쟻??珥덈벑,,,,,,,
263,bee,轅踰?珥덈벑,,,,,,,
264,beef,?좉퀬湲?珥덈벑,,,,,,,
265,beer,留μ＜,以묎퀬,,,,,,
266,before,?욎뿉,珥덈벑,,,,,,
267,beg,泥?븯??以묎퀬,,,,,,,
268,begin,?쒖옉?섎떎,珥덈벑,,,,,,
269,behalf,?꾪븿,以묎퀬,,,,,,
270,behave,?됰룞?섎떎,以묎퀬,,,,,,
271,behavior,?됰룞,以묎퀬,behaviour,,,,,
272,behind,?ㅼ뿉,珥덈벑,,,,,,
273,believe,誘용떎,珥덈벑,,,,,,
274,bell,醫?珥덈벑,,,,,,,
275,belong,?랁븯??以묎퀬,,,,,,,
276,below,?꾨옒??珥덈벑,,,,,,,
277,bend,援щ?由щ떎,以묎퀬,,,,,,
278,beneath,-??諛붾줈 ?꾨옒??以묎퀬,,,,,,,
279,benefit,?댁씡,以묎퀬,,,,,,
280,berry,?↔낵,以묎퀬,,,,,,
281,beside,-??怨곸뿉,珥덈벑,,,,,,
282,bet,嫄몃떎,以묎퀬,,,,,,
283,betray,諛곕컲?섎떎,以묎퀬,,,,,,
284,between,-???ъ씠???ъ씠??珥덈벑,,,,,,,
285,beyond,??몄뿉,以묎퀬,,,,,,
286,bias,移섏슦移?以묎퀬,,,,,,,
287,bible,"?깆꽌, ?깃꼍",以묎퀬,,,,,,
288,bicycle,?먯쟾嫄??먯쟾嫄곕? ???珥덈벑,,,,,,,
289,big,??珥덈벑,,,,,,,
290,bill,怨꾩궛??珥덈벑,,,,,,,
291,billion,10??以묎퀬,,,,,,,
292,bin,沅?以묎퀬,,,,,,,
293,bind,留ㅻ떎,以묎퀬,,,,,,
294,biography,?꾧린,以묎퀬,,,,,,
295,biology,?앸Ъ??以묎퀬,,,,,,,
296,bird,??珥덈벑,,,,,,,
297,birth,異쒖깮,珥덈벑,,,,,,
298,birthday,?앹씪,珥덈벑,,,,,,
299,bishop,二쇨탳,?꾨Ц,,,,,,
300,bit,bite??怨쇨굅(遺꾩궗) ?묒? 議곌컖,以묎퀬,,,,,,
301,bite,臾쇰떎,珥덈벑,,,,,,
302,bitter,??以묎퀬,,,,,,,
303,black,寃?,珥덈벑,,,,,,
304,blame,梨낅쭩?섎떎,以묎퀬,,,,,,
305,blank,怨듬갚,以묎퀬,,,,,,
306,blanket,?댁슂,以묎퀬,,,,,,
307,blast,?뚰뭾,?꾨Ц,,,,,,
308,blend,?쇳빀?섎떎,以묎퀬,,,,,,
309,bless,異뺣났?섎떎,以묎퀬,,,,,,
310,blind,?덈㉫,以묎퀬,,,,,,
311,blink,(?덉쓣)源쒕묀嫄곕━??以묎퀬,,,,,,,
312,block,?⑹뼱由?珥덈벑,,,,,,,
313,blonde,(?닿껐????湲덈컻???ъ꽦,以묎퀬,,,,,,
314,blood,??珥덈벑,,,,,,,
315,bloom,?노뜦??以묎퀬,,,,,,,
316,blossom,(怨쇱닔??苑?以묎퀬,,,,,,,
317,blow,媛뺥?,以묎퀬,,,,,,
318,blue,?몃Ⅸ,珥덈벑,,,,,,
319,board,?먮묏吏,珥덈벑,,,,,,
320,boat,諛?珥덈벑,,,,,,,
321,body,?좎껜,珥덈벑,,,,,,
322,boil,?볥떎,以묎퀬,,,,,,
323,bold,??댄븳,以묎퀬,,,,,,
324,bomb,??깂 ??꺽?섎떎,珥덈벑,,,,,,
325,bond,寃곗냽,以묎퀬,,,,,,
326,bone,堉?珥덈벑,,,,,,,
327,book,梨?珥덈벑,,,,,,,
328,boom,援됱쓬,以묎퀬,,,,,,
329,boost,?ㅻ? 諛湲?以묎퀬,,,,,,,
330,boot,紐⑹씠 湲?援щ몢,珥덈벑,,,,,,
331,border,媛?μ옄由?以묎퀬,,,,,,,
332,bore,怨좎“,以묎퀬,,,,,,
333,borrow,鍮뚮떎,珥덈벑,,,,,,
334,boss,?먮ぉ,珥덈벑,,,,,,
335,both,?띾갑??珥덈벑,,,,,,,
336,bother,愿대∼?덈떎 洹쇱떖?섎떎 洹李?쓬,以묎퀬,,,,,,
337,bottle,蹂?珥덈벑,,,,,,,
338,bottom,諛묐컮??珥덈벑,,,,,,,
339,bounce,?곗뼱?ㅻⅤ??以묎퀬,,,,,,,
340,boundary,寃쎄퀎,以묎퀬,,,,,,
341,bow,??以묎퀬,,,,,,,
342,bowl,?щ컻,珥덈벑,,,,,,
343,boy,?뚮뀈,珥덈벑,,,,,,
344,brain,??珥덈벑,,,,,,,
345,brake,釉뚮젅?댄겕,珥덈벑,,,,,,
346,branch,媛吏,珥덈벑,,,,,,
347,brand,?곹몴,珥덈벑,,,,,,
348,brave,?⑷컧??珥덈벑,,,,,,,
349,bread,鍮?珥덈벑,,,,,,,
350,break,遺?섎떎,珥덈벑,,,,,,
351,breakfast,?꾩묠諛?珥덈벑,,,,,,,
352,breast,媛??以묎퀬,,,,,,,
353,breathe,?⑥돩??以묎퀬,,,,,,,
354,breed,湲곕Ⅴ???꾨Ц,,,,,,,
355,breeze,誘명뭾,以묎퀬,,,,,,
356,brew,?묒“?섎떎,?꾨Ц,,,,,,
357,brick,踰쎈룎,以묎퀬,,,,,,
358,bride,?좊?,以묎퀬,,,,,,
359,bridge,?ㅻ━,珥덈벑,,,,,,
360,brief,?⑥떆媛꾩쓽,以묎퀬,,,,,,
361,bright,諛앹?,珥덈벑,,,,,,
362,brilliant,鍮쏅굹??以묎퀬,,,,,,,
363,bring,媛?몄삤??珥덈벑,,,,,,,
364,broad,(??씠)?볦?,以묎퀬,,,,,,
365,broadcast,諛⑹넚?섎떎,以묎퀬,,,,,,
366,brother,?뺤젣,珥덈벑,,,,,,
367,brown,媛덉깋??媛덉깋,珥덈벑,,,,,,
368,brush,??珥덈벑,,,,,,,
369,brute,?쇱닔 吏먯듅媛숈?,?꾨Ц,,,,,,
370,bubble,嫄고뭹 嫄고뭹???쇰떎,珥덈벑,,,,,,
371,budget,?덉궛,以묎퀬,,,,,,
372,bug,踰뚮젅,珥덈벑,,,,,,
373,build,吏볥떎,珥덈벑,,,,,,
374,bulk,遺???꾨Ц,,,,,,,
375,bull,?⑹냼,以묎퀬,,,,,,
376,bullet,?꾪솚,以묎퀬,,,,,,
377,bully,?쏀븳 ?먮? 紐살궡寃?援щ뒗 ??以묎퀬,,,,,,,
378,bump,異⑸룎 遺?れ튂??以묎퀬,,,,,,,
379,bunch,?≪씠,以묎퀬,,,,,,
380,bundle,?ㅻ컻,以묎퀬,,,,,,
381,burden,?꾨졃,以묎퀬,,,,,,
382,burn,?쒕궡,珥덈벑,,,,,,
383,burst,?뚯뿴?섎떎,以묎퀬,,,,,,
384,bury,臾삳떎,以묎퀬,,,,,,
385,bush,?ㅻ텋,以묎퀬,,,,,,
386,business,吏곸뾽,珥덈벑,,,,,,
387,busy,諛붿걶,珥덈벑,,,,,,
388,but,洹몃윭???ㅻ쭔 (-???쒖쇅?섍퀬,珥덈벑,,,,,,
389,butcher,?뺤쑁?먯＜??以묎퀬,,,,,,,
390,button,?⑥텛 ?⑥텛瑜?梨꾩슦???⑥텛濡?梨꾩썙吏??珥덈벑,,,,,,,
391,buy,?щ떎,珥덈벑,,,,,,
392,buzz,?숈쐷嫄곕━???뚮━,以묎퀬,,,,,,
393,by,怨곸뿉,珥덈벑,,,,,,
394,cab,?앹떆,以묎퀬,,,,,,
395,cabin,?좎떎,以묎퀬,,,,,,
396,cable,?댁??꾩떊,以묎퀬,,,,,,
397,cage,?덉옣,珥덈벑,,,,,,
398,calculate,怨꾩궛?섎떎,以묎퀬,,,,,,
399,calendar,?щ젰,珥덈벑,,,,,,
400,call,遺瑜대떎,珥덈벑,,,,,,
401,calm,?됱삩??珥덈벑,,,,,,,
402,can,au-?????덈떎,珥덈벑,,,,,,
403,cancel,痍⑥냼?섎떎,以묎퀬,,,,,,
404,cancer,??以묎퀬,,,,,,,
405,candidate,吏?먯옄,以묎퀬,,,,,,
406,candy,?ы깢怨쇱옄,珥덈벑,,,,,,
407,canvas,?쏅쿋,以묎퀬,,,,,,
408,cap,紐⑥옄,珥덈벑,,,,,,
409,capable,?????덈뒗,以묎퀬,,,,,,
410,cape,怨?以묎퀬,,,,,,,
411,capital,?섏쐞??以묎퀬,,,,,,,
412,captain,?곕몢癒몃━(chief),珥덈벑,,,,,,
413,caption,?쒖젣,?꾨Ц,,,,,,
414,capture,遺숈옟??=catch),以묎퀬,,,,,,
415,car,?먮룞李?珥덈벑,,,,,,,
416,care,嫄깆젙,珥덈벑,,,,,,
417,career,寃쎈젰,以묎퀬,,,,,,
418,carrot,?밴렐,珥덈벑,,,,,,
419,carry,?섎Ⅴ??珥덈벑,,,,,,,
420,cart,(2瑜?吏먮쭏李?珥덈벑,,,,,,,
421,carve,議곌컖?섎떎,以묎퀬,,,,,,
422,case,寃쎌슦,珥덈벑,,,,,,
423,cash,?꾧툑 ?꾧툑?쇰줈 諛붽씀???꾧툑??珥덈벑,,,,,,,
424,cast,?섏???以묎퀬,,,,,,,
425,castle,??珥덈벑,,,,,,,
426,casual,?곗뿰??以묎퀬,,,,,,,
427,cat,怨좎뼇??珥덈벑,,,,,,,
428,catch,遺숈옟??珥덈벑,,,,,,,
429,category,踰붿＜,以묎퀬,,,,,,
430,cater,?뚯떇臾쇱쓣 留덈젴?섎떎,?꾨Ц,,,,,,
431,cathedral,??깅떦,?꾨Ц,,,,,,
432,cattle,??以묎퀬,,,,,,,
433,causal,?먯씤??以묎퀬,,,,,,,
434,cause,?먯씤,以묎퀬,,,,,,
435,caution,議곗떖,以묎퀬,,,,,,
